Stock,Commodity,Cluster
XOM,HG=F,0
CVX,HG=F,0
SHEL,HG=F,0
BP,HG=F,0
TTE,HG=F,0
COP,HG=F,0
VLO,HG=F,0
PSX,HG=F,0
KMI,HG=F,0
SLB,HG=F,0
BKR,HG=F,0
AEM,HG=F,0
SCCO,HG=F,0
RIO,HG=F,0
BHP,HG=F,0
VALE,HG=F,0
GLNCY,HG=F,0
NUE,HG=F,0
BG,HG=F,0
DE,HG=F,0
NTR,HG=F,0
TSN,HG=F,0
HSY,HG=F,0
MDLZ,HG=F,0
DAR,HG=F,0
INGR,HG=F,0
AAPL,HG=F,0
MSFT,HG=F,0
GOOGL,HG=F,0
AMZN,HG=F,0
QCOM,HG=F,0
TXN,HG=F,0
ADBE,HG=F,0
CRM,HG=F,0
ORCL,HG=F,0
IBM,HG=F,0
CSCO,HG=F,0
CAT,HG=F,0
MMM,HG=F,0
HON,HG=F,0
GE,HG=F,0
LMT,HG=F,0
RTX,HG=F,0
GD,HG=F,0
NOC,HG=F,0
EMR,HG=F,0
ITW,HG=F,0
FAST,HG=F,0
DOV,HG=F,0
ETN,HG=F,0
PH,HG=F,0
AME,HG=F,0
ROK,HG=F,0
HD,HG=F,0
LOW,HG=F,0
SBUX,HG=F,0
MCD,HG=F,0
CMG,HG=F,0
ULTA,HG=F,0
BBY,HG=F,0
F,HG=F,0
GM,HG=F,0
JNJ,HG=F,0
MRK,HG=F,0
ABT,HG=F,0
AMGN,HG=F,0
BMY,HG=F,0
UNH,HG=F,0
CVS,HG=F,0
DHR,HG=F,0
SYK,HG=F,0
MDT,HG=F,0
ISRG,HG=F,0
ZTS,HG=F,0
JPM,HG=F,0
BAC,HG=F,0
WFC,HG=F,0
C,HG=F,0
GS,HG=F,0
MS,HG=F,0
SCHW,HG=F,0
BLK,HG=F,0
AXP,HG=F,0
V,HG=F,0
MA,HG=F,0
NEE,HG=F,0
DUK,HG=F,0
SO,HG=F,0
D,HG=F,0
AEP,HG=F,0
EXC,HG=F,0
WEC,HG=F,0
AWK,HG=F,0
ECL,HG=F,0
WM,HG=F,0
T,HG=F,0
VZ,HG=F,0
CMCSA,HG=F,0
NEM,SI=F,3
NEM,PL=F,3
NEM,ZL=F,3
GOLD,SI=F,3
GOLD,PL=F,3
GOLD,ZL=F,3
FNV,SI=F,3
FNV,PL=F,3
FNV,ZL=F,3
SJM,ALI=F,7
GIS,ALI=F,7
CAG,ZS=F,8
